gene_id	s001_Line1_0g_repeat	s002_Line1_0g_repeat	s003_Line1_0g_repeat	s004_Line1_1g_repeat	s005_Line1_1g_repeat	s006_Line1_1g_repeat	s007_Line1_ground_repeat	s008_Line1_ground_repeat	s009_Line1_ground_repeat
ENSG00000019144	409	800	901	481	788	536	957	682	1065
ENSG00000019169	0	0	2	10	0	0	0	0	0
ENSG00000019186	0	0	0	0	0	1	0	0	0
ENSG00000019485	104	223	209	44	204	98	344	179	471
ENSG00000019505	17	0	9	20	7	8	58	30	2
ENSG00000019549	68	70	121	72	137	176	252	85	276
ENSG00000019582	228	289	546	127	501	506	997	965	1111
ENSG00000019991	0	0	1	3	0	20	10	0	11
ENSG00000019995	219	300	553	306	451	461	378	201	471
ENSG00000020129	1084	1717	2637	998	2751	1763	1949	1788	2615
ENSG00000020181	124	162	297	75	285	167	294	172	381
ENSG00000020219	0	0	0	1	0	0	0	0	0
ENSG00000020256	237	351	567	354	828	522	603	368	703
ENSG00000020426	399	638	911	674	706	785	536	539	687
ENSG00000020577	128	108	219	70	162	93	117	217	201
ENSG00000020633	0	2	0	4	0	2	0	0	8
ENSG00000020922	284	396	577	318	626	482	695	620	718
ENSG00000021300	211	345	407	80	557	256	526	503	518
ENSG00000021355	427	601	959	502	866	650	957	817	1383
ENSG00000021461	0	0	0	2	0	1	0	0	0
ENSG00000021488	0	0	4	3	0	2	0	0	1
ENSG00000021574	295	552	794	548	582	652	821	664	904
ENSG00000021645	7	0	11	30	38	59	7	47	85
ENSG00000021762	133	123	156	119	268	128	155	153	288
ENSG00000021776	780	1435	2334	1234	1651	1564	2039	1582	2317
ENSG00000021826	223	399	747	280	448	317	717	511	830
ENSG00000021852	0	0	0	0	0	0	0	0	11
ENSG00000022267	387	570	762	433	920	545	869	585	1052
ENSG00000022277	1318	2098	2604	1677	3219	2852	2229	2168	3205
ENSG00000022355	0	0	1	2	1	1	0	1	0
ENSG00000022556	423	691	871	397	1058	878	853	589	1116
ENSG00000022567	63	157	105	31	156	94	98	144	197
ENSG00000022840	4843	6806	9923	6220	10845	9310	10327	8074	13588
ENSG00000022976	149	339	306	174	307	296	219	242	318
ENSG00000023041	392	751	958	593	1052	782	784	848	1270
ENSG00000023171	34	28	30	39	90	30	70	87	157
ENSG00000023191	2899	4537	5581	3089	7382	5719	4732	4278	6878
ENSG00000023228	3503	5042	7236	3042	6952	4833	6036	5033	6572
ENSG00000023287	1478	2279	2906	2586	3039	2639	3227	2173	3774
ENSG00000023318	2080	2944	3852	2637	4218	4120	3728	3242	4938
ENSG00000023330	2255	3020	4426	2370	5367	3861	4187	4151	5601
ENSG00000023445	1	0	4	0	1	6	0	0	0
ENSG00000023516	329	411	873	545	619	542	884	617	701
ENSG00000023572	312	389	552	411	627	484	300	263	381
ENSG00000023608	132	211	295	231	341	261	170	208	265
ENSG00000023697	1012	1815	2407	1595	2800	2374	2687	1996	3471
ENSG00000023734	4305	6672	9520	6638	9464	9707	6710	5124	9114
ENSG00000023839	0	0	2	1	0	8	47	0	34
ENSG00000023892	7	32	41	16	39	24	25	51	34
ENSG00000023902	971	1450	1738	1121	2505	1974	1191	1281	1644
ENSG00000023909	416	724	1044	1374	792	1523	381	379	519
ENSG00000024048	721	1206	1609	924	1611	1334	1347	1476	1822
ENSG00000024422	171	331	342	487	514	563	331	115	161
ENSG00000024526	234	410	365	224	235	259	503	447	763
ENSG00000024862	139	243	355	347	378	477	284	315	474
ENSG00000025039	1367	1834	2783	1122	2659	2009	2708	2113	4053
ENSG00000025156	647	825	1251	958	1147	1247	1311	939	1689
ENSG00000025293	370	721	805	531	1041	782	891	912	1077
